locality,bhk,area_sqft,age_years,floor,total_floors,parking_spaces,gym,swimming_pool,security,garden,elevator,furnishing,metro_distance_km,it_distance_km,price_lakhs
Kharadi,3,1207,13,11,18,0,1,1,1,1,1,Unfurnished,1.3,22.6,132.19
Pisoli,3,1399,12,12,12,1,0,1,1,1,1,Unfurnished,3.4,7.1,74.28
Kharadi,2,967,25,10,10,0,1,0,0,0,1,Unfurnished,1.7,4.6,84.11
Hadapsar,2,963,8,4,9,1,0,1,1,0,1,Semi-Furnished,0.6,1.4,99.03
Bavdhan,4,1550,13,13,18,1,0,1,1,1,1,Semi-Furnished,3,6.8,212.29
Aundh,1,543,2,3,4,0,0,0,1,1,0,Unfurnished,1,1.6,101.01
Baner,2,1210,19,1,18,1,1,1,1,0,1,Unfurnished,0.6,14.8,141.54
Viman Nagar,2,1009,17,9,20,1,0,0,1,1,1,Semi-Furnished,4.2,11.2,124.91
Kalyani Nagar,2,1134,13,3,5,1,1,0,0,0,1,Semi-Furnished,1.7,9.4,231.06
Baner,2,1198,3,7,12,1,1,0,1,0,1,Unfurnished,2.3,6.2,200.28
Warje,2,1260,14,3,4,1,0,1,1,0,1,Unfurnished,0.8,1.3,136.66
Kothrud,3,1270,13,9,10,0,0,0,1,1,1,Fully-Furnished,6.7,2.2,173.92
Pisoli,3,1505,15,2,12,1,1,0,1,1,1,Semi-Furnished,3.7,4.4,78.98
Mundhwa,1,773,24,6,17,2,0,0,0,0,1,Unfurnished,1.3,29,43.9
Bavdhan,1,604,20,7,7,1,0,1,1,0,1,Semi-Furnished,1.2,6.7,61.17
Pimpri,2,961,0,14,19,0,0,0,1,1,1,Unfurnished,6.6,7.5,63.56
Wakad,2,928,3,9,12,1,1,0,1,1,1,Semi-Furnished,1.8,3.3,169.86
Kharadi,2,1034,4,1,15,1,1,1,0,0,1,Unfurnished,2.2,7.5,136.99
Kothrud,1,708,25,5,12,0,1,1,0,1,1,Unfurnished,7.4,3.7,57.86
Pashan,3,1530,10,7,11,1,0,0,1,0,1,Semi-Furnished,7.8,2.2,161.83
Kondhwa,3,1695,1,6,19,0,1,0,1,1,1,Semi-Furnished,4.5,1.7,201.56
Kharadi,1,649,6,2,4,0,0,0,0,0,1,Unfurnished,1.1,2.4,74.29
Wakad,3,1395,7,8,14,1,0,1,1,0,1,Unfurnished,1.4,11.2,219.16
Pimpri,3,1554,22,3,5,0,0,1,1,0,1,Unfurnished,1.8,5.5,71.45
Aundh,3,1328,8,1,16,1,1,1,1,0,1,Unfurnished,11,2.5,207.23
Koregaon Park,1,471,19,12,12,2,1,0,1,0,1,Unfurnished,5,1.7,104.41
Chinchwad,3,1391,19,10,15,0,1,1,1,0,1,Semi-Furnished,1.3,1.4,122.73
Mundhwa,2,1012,21,4,6,0,1,1,1,0,1,Semi-Furnished,1.7,9.8,74.8
Chinchwad,1,444,16,1,10,1,1,1,1,1,1,Semi-Furnished,3.4,7.1,29.42
Undri,4,1713,8,13,16,1,0,1,1,0,1,Semi-Furnished,0.6,7.7,197.22
Aundh,3,1336,20,12,18,1,1,1,1,0,1,Unfurnished,6.1,9.2,237.08
Hinjewadi,3,1606,23,6,20,2,1,1,1,0,1,Fully-Furnished,1.2,1.6,180.11
Bavdhan,3,1386,10,5,14,1,1,0,0,1,1,Semi-Furnished,2.8,14.8,166.21
Mundhwa,1,673,6,4,19,1,0,0,0,1,1,Unfurnished,1.6,4.5,62.66
Viman Nagar,2,1137,18,5,17,1,1,1,1,1,1,Unfurnished,2.3,4.6,162.04
Kalyani Nagar,1,809,8,3,9,1,0,1,1,0,1,Semi-Furnished,1,1.2,168.3
Bavdhan,2,1166,15,1,15,0,0,0,0,0,1,Fully-Furnished,1.2,6.6,105.4
Viman Nagar,1,538,0,4,10,1,0,0,1,1,1,Unfurnished,6.6,2,99.53
Kalyani Nagar,2,1131,9,17,17,1,0,1,1,0,1,Fully-Furnished,9.2,6.7,269.74
Viman Nagar,1,840,25,1,15,0,1,0,1,1,1,Unfurnished,6.6,5.2,73.57
Kothrud,3,1621,25,4,4,1,0,0,0,1,1,Semi-Furnished,1.2,6.4,191.73
Kalyani Nagar,3,1727,13,13,17,0,0,1,1,1,1,Unfurnished,0.8,6.4,330.44
Bavdhan,3,1387,21,9,19,1,1,0,1,1,1,Semi-Furnished,6.6,8.6,144.44
Chinchwad,1,761,3,7,18,1,1,1,1,0,1,Semi-Furnished,6.8,3.6,71.79
Kharadi,1,719,15,8,9,1,0,1,1,1,1,Semi-Furnished,5.4,8.2,69.82
Hinjewadi,3,1340,24,3,19,1,0,0,1,1,1,Unfurnished,5.6,1.6,122.19
Pashan,1,583,5,3,4,1,1,0,0,1,1,Unfurnished,1.7,3.3,68.15
Hinjewadi,3,1719,5,6,13,1,1,0,1,0,1,Unfurnished,2,4,201.81
Wakad,2,904,14,7,11,1,1,0,1,0,1,Unfurnished,1.3,1.4,102.56
Kalyani Nagar,4,2211,5,4,6,2,1,0,1,1,1,Semi-Furnished,3.4,4.1,700.53
Mundhwa,1,698,21,4,7,2,0,0,0,0,1,Unfurnished,2.7,4.3,50.65
Kondhwa,3,1122,18,6,10,1,1,1,1,1,1,Semi-Furnished,3.1,4.8,85.89
Warje,1,738,17,1,4,1,0,1,1,1,0,Semi-Furnished,5.5,7.3,60.59
Aundh,2,1114,8,2,4,1,0,1,0,0,1,Unfurnished,1.3,14.1,189.47
Undri,2,887,3,1,18,0,1,0,0,0,1,Semi-Furnished,2.5,2.5,79.66
Mundhwa,2,852,16,7,20,1,1,0,1,1,1,Fully-Furnished,5.4,4.9,75.88
Hadapsar,2,1138,19,12,18,1,0,1,1,0,1,Fully-Furnished,4.3,2.6,91.45
Chinchwad,2,853,11,1,6,1,1,1,1,0,1,Unfurnished,1.1,6.7,66.46
Viman Nagar,1,611,12,8,9,1,0,0,1,0,1,Semi-Furnished,4.2,1.6,79.8
Pisoli,1,441,14,17,17,0,1,0,0,1,1,Fully-Furnished,10.4,4.3,22.26
Kondhwa,3,1445,5,3,8,0,1,1,1,1,1,Semi-Furnished,0.6,6,169.21
Mundhwa,3,1424,24,5,10,1,0,0,1,0,1,Semi-Furnished,5.6,11.8,112.84
Kondhwa,2,895,22,11,20,1,1,1,1,1,1,Unfurnished,3.3,3.6,60.4
Kothrud,3,1151,4,6,8,1,1,0,1,1,1,Semi-Furnished,5,2.6,183.37
Wagholi,2,956,13,3,3,0,0,0,0,0,1,Fully-Furnished,3.8,1.5,68.86
Hinjewadi,3,1233,22,4,12,1,0,1,0,1,1,Semi-Furnished,3.2,1.9,138.57
Aundh,3,1527,17,4,15,1,1,1,1,0,1,Unfurnished,1.2,1.5,275.26
Bavdhan,4,1811,21,9,13,0,1,0,1,1,1,Semi-Furnished,3.3,5,203.33
Aundh,3,1289,22,13,14,1,1,0,1,0,1,Semi-Furnished,3.2,4.4,185.72
Baner,1,520,5,4,19,1,1,0,0,1,1,Unfurnished,2.2,7.3,82.04
Hadapsar,2,1085,4,2,4,2,1,1,1,1,1,Semi-Furnished,1.5,1.4,156.4
Wagholi,2,913,25,9,13,0,0,0,1,0,1,Semi-Furnished,1.3,3.2,39.29
Baner,2,1005,6,6,13,1,0,1,1,1,1,Fully-Furnished,0.7,9.1,167.19
Koregaon Park,1,623,11,8,17,2,1,1,1,1,1,Unfurnished,6.9,6.3,120.61
Wakad,2,701,17,1,12,2,1,0,1,0,1,Unfurnished,1.7,6.5,77.53
Viman Nagar,2,1251,2,2,6,2,1,0,1,0,1,Semi-Furnished,2.4,1.3,254.59
Viman Nagar,3,1512,13,2,6,1,1,1,1,1,1,Fully-Furnished,1.1,6.9,281.48
Hinjewadi,1,617,22,1,13,0,0,1,1,1,1,Unfurnished,0.8,4,38.28
Pimpri,2,890,14,7,15,1,0,0,0,1,1,Unfurnished,3.8,8.9,60.09
Pisoli,1,491,2,9,14,0,1,0,0,1,1,Semi-Furnished,15.2,14.1,22.14
Warje,3,1643,0,6,18,1,0,0,1,1,1,Fully-Furnished,2.7,5.9,241.91
Hinjewadi,2,1029,25,1,14,1,1,0,0,1,1,Semi-Furnished,0.9,9.7,72.72
Baner,2,1106,23,4,14,1,1,0,0,0,1,Fully-Furnished,0.6,2.8,149.89
Viman Nagar,1,521,21,4,4,1,0,1,1,0,1,Fully-Furnished,0.8,14.8,60.21
Hinjewadi,3,1033,7,3,6,1,1,0,1,1,1,Unfurnished,2,4,134.06
Pisoli,1,639,18,13,14,1,1,0,1,0,1,Semi-Furnished,8.1,4.4,33.95
Bavdhan,2,1012,11,6,7,1,1,0,1,0,1,Semi-Furnished,1.9,11.5,119.55
Kharadi,2,1040,2,3,11,1,0,1,1,1,1,Fully-Furnished,5.2,2.8,165.11
Kondhwa,2,974,18,13,15,1,1,0,1,1,1,Semi-Furnished,1.1,6.9,73.69
Hinjewadi,2,1004,7,3,12,1,1,0,1,1,1,Fully-Furnished,3.6,9.6,118.34
Mundhwa,3,1395,24,5,19,1,0,1,1,1,1,Semi-Furnished,3.3,8.2,123.49
Undri,3,1402,1,8,10,0,0,0,1,1,1,Semi-Furnished,2,1.8,149.2
Warje,2,909,14,1,4,2,0,1,1,1,1,Unfurnished,0.6,1.7,92.1
Wagholi,2,1008,12,6,15,1,1,0,1,1,1,Unfurnished,10.6,3.8,59.38
Warje,2,1010,11,16,18,1,0,1,1,0,1,Semi-Furnished,2.2,1.6,100.34
Pimpri,1,479,5,6,8,1,1,1,1,0,1,Unfurnished,3.4,6.3,37.47
Undri,2,968,18,7,8,0,0,0,0,1,1,Unfurnished,0.7,27.4,66.58
Pisoli,1,615,5,3,11,1,1,1,1,1,1,Semi-Furnished,12.8,2.4,32.19
Chinchwad,3,1277,6,16,17,1,0,1,1,1,1,Fully-Furnished,4,1.3,149.44
Kharadi,2,1024,16,3,11,1,0,0,1,0,1,Unfurnished,5.5,5.8,101.62
Wakad,1,695,16,14,19,1,1,0,1,1,1,Fully-Furnished,2.7,3.8,76.35
Wagholi,2,795,3,4,5,1,1,0,0,1,1,Semi-Furnished,1.9,3.7,60.47
Bavdhan,2,1081,11,4,4,0,1,1,1,1,1,Semi-Furnished,4.9,1.1,145.15
Bavdhan,1,542,15,2,10,0,1,0,0,1,1,Semi-Furnished,0.6,2.5,42.51
Pisoli,2,918,16,2,3,1,1,0,1,0,1,Unfurnished,2.8,2.2,47.62
Wagholi,2,998,11,11,11,1,0,0,1,0,1,Semi-Furnished,0.8,5,71.35
Pimpri,4,2099,18,13,14,1,1,1,1,1,1,Semi-Furnished,0.8,4.3,176.64
Kharadi,1,556,16,13,15,1,1,1,1,0,1,Fully-Furnished,4.5,4.2,61.19
Koregaon Park,3,1126,4,14,18,0,0,0,1,1,1,Fully-Furnished,2.3,8.7,290.04
Warje,2,900,16,12,12,2,0,1,0,0,1,Unfurnished,4,3.9,101.73
Viman Nagar,1,668,19,17,19,1,1,1,1,1,1,Fully-Furnished,0.6,12.6,90.19
Baner,4,2339,24,6,15,1,1,0,0,1,1,Fully-Furnished,3.7,12.3,294.49
Wagholi,2,1195,17,6,14,2,0,1,0,1,1,Semi-Furnished,0.7,4.7,83.15
Pimpri,1,646,16,5,6,0,0,1,1,1,1,Fully-Furnished,2.7,6.7,40.06
Pisoli,2,945,14,10,15,1,0,0,1,1,1,Fully-Furnished,0.7,1.1,57.34
Koregaon Park,2,798,8,4,5,1,1,1,1,0,1,Fully-Furnished,1.8,8.5,209.53
Kondhwa,2,843,22,4,11,0,0,1,1,1,1,Unfurnished,1.1,1.5,59.23
Hadapsar,2,1178,18,3,11,2,1,1,1,0,1,Semi-Furnished,1.4,1.1,118.5
Pimpri,1,700,6,10,10,1,1,0,0,1,1,Semi-Furnished,3.4,3.4,50.07
Wagholi,4,1719,15,10,14,1,1,1,1,0,1,Unfurnished,3.4,8.5,114.81
Kondhwa,2,1068,7,1,7,1,1,1,0,0,1,Fully-Furnished,0.6,18.3,105.88
Kharadi,2,903,3,15,19,1,0,1,1,0,1,Unfurnished,12.2,5.6,123.28
Pimpri,1,753,8,5,10,1,1,0,1,0,1,Semi-Furnished,5.5,6.3,53.56
Kothrud,2,945,12,8,11,0,0,0,1,0,1,Unfurnished,8.4,2.3,99.78
Aundh,2,843,12,3,9,1,1,0,0,0,1,Unfurnished,2.2,5.7,114.3
Kondhwa,2,967,10,10,18,0,1,0,0,0,1,Unfurnished,7,6.2,70.9
Pimpri,2,1129,20,4,6,1,0,0,1,1,1,Unfurnished,6.4,10.4,58.58
Bavdhan,1,583,21,9,9,0,1,0,1,0,1,Semi-Furnished,4.7,4.1,52.31
Warje,2,1074,14,7,7,0,1,0,1,1,1,Fully-Furnished,5,6.3,120.54
Baner,1,618,7,6,13,1,1,1,1,1,1,Semi-Furnished,13,14.9,71.13
Kothrud,3,1480,16,14,17,0,1,0,1,0,1,Semi-Furnished,5.6,2.2,179.4
Baner,1,724,12,1,6,0,1,0,0,0,1,Semi-Furnished,4.5,4.9,82.9
Baner,1,624,19,1,7,1,1,0,1,0,1,Semi-Furnished,1.6,5.2,82.57
Hinjewadi,2,1113,5,1,3,1,1,0,1,1,1,Unfurnished,3.5,8.2,121.18
Pashan,1,586,22,6,20,1,1,1,1,0,1,Semi-Furnished,0.5,2.4,47.59
Wagholi,2,969,11,18,18,0,0,0,1,0,1,Unfurnished,5.3,2.1,52.55
Kothrud,2,1250,17,3,3,2,1,0,0,0,0,Unfurnished,3.4,2,152.08
Wagholi,2,1179,13,14,20,1,0,1,1,0,1,Unfurnished,2.9,1,70.52
Bavdhan,2,882,16,5,11,1,1,0,0,0,1,Unfurnished,10,3.3,88.8
Wakad,2,867,19,9,17,1,1,0,0,1,1,Unfurnished,1.6,11.5,87
Wakad,2,1259,4,1,17,0,0,0,1,0,1,Semi-Furnished,7,5.5,145.68
Kothrud,2,787,25,3,4,0,1,0,1,0,1,Unfurnished,4.1,1,63.71
Pimpri,3,1095,0,6,6,0,1,0,1,0,1,Semi-Furnished,5.2,1.5,113.22
Kondhwa,3,1290,6,13,18,1,0,0,1,0,1,Fully-Furnished,3.6,1.3,172.7
Kondhwa,1,754,15,4,12,1,0,1,1,0,1,Semi-Furnished,3,5.6,63.88
Koregaon Park,1,702,8,4,6,1,0,0,1,0,1,Semi-Furnished,1.4,9.7,164.65
Kothrud,3,1236,7,8,8,0,1,1,1,1,1,Unfurnished,0.7,3,195.9
Wagholi,3,1539,4,8,18,1,1,1,1,1,1,Semi-Furnished,5.2,4.6,134.38
Koregaon Park,3,1172,11,3,7,1,1,0,1,1,1,Unfurnished,1.7,3.8,296.53
Kharadi,2,988,10,9,17,1,1,1,0,1,1,Semi-Furnished,3.2,7.7,126.3
Pimpri,2,846,14,3,3,1,1,1,1,0,1,Unfurnished,3.5,8.7,66.36
Wagholi,3,1355,6,16,19,1,0,0,1,0,1,Unfurnished,6,3.4,89.13
Baner,1,788,4,1,8,0,1,0,1,1,1,Semi-Furnished,1.1,3.2,126.21
Kondhwa,2,1021,18,1,11,1,1,0,1,0,1,Semi-Furnished,1.6,15.1,56.34
Baner,2,930,20,3,4,1,1,0,1,1,1,Unfurnished,6.7,10.2,93.66
Kalyani Nagar,3,1503,9,2,5,2,0,1,1,0,1,Semi-Furnished,2.3,4.3,356.43
Aundh,2,996,5,18,20,1,0,1,1,0,1,Semi-Furnished,2.2,7.5,232.46
Wakad,1,540,5,13,20,1,1,0,1,1,1,Fully-Furnished,3.3,1.7,85.17
Wagholi,4,1992,10,7,14,1,1,1,1,1,1,Unfurnished,9.9,1.4,161.42
Wagholi,3,1380,8,8,14,1,0,1,1,1,1,Semi-Furnished,1.4,2.4,107.3
Chinchwad,1,577,7,6,9,0,1,1,1,1,1,Semi-Furnished,1.5,8.1,51.53
Pisoli,1,749,1,12,17,0,0,1,1,0,1,Unfurnished,0.7,4.3,42.44
Pisoli,2,636,6,3,5,1,0,1,1,1,1,Fully-Furnished,1.8,12.5,43.53
Mundhwa,2,1010,1,2,15,1,1,0,1,0,1,Fully-Furnished,8.8,1.3,126.81
Wakad,3,1087,7,3,3,1,0,0,0,1,0,Semi-Furnished,4.4,20.9,132.8
Hinjewadi,1,679,23,8,15,1,1,0,1,1,1,Unfurnished,1.2,5.2,47.31
Hadapsar,1,647,18,4,4,0,0,0,1,1,1,Unfurnished,3.3,3.2,49.01
Pisoli,1,527,19,8,19,0,0,0,1,1,1,Unfurnished,6.2,5.1,18.52
Bavdhan,2,848,11,6,9,1,1,1,0,0,1,Fully-Furnished,6.4,7.4,107.06
Pashan,2,1026,14,2,4,0,0,1,1,0,0,Fully-Furnished,2.9,1.4,110.96
Hinjewadi,3,1186,9,2,3,1,0,0,0,0,1,Unfurnished,1,15.6,94.88
Kondhwa,3,1487,17,5,18,1,1,0,1,1,1,Unfurnished,2.4,3.7,129.41
Kalyani Nagar,2,1093,25,1,11,1,1,0,1,1,1,Fully-Furnished,0.7,4.6,201.95
Kothrud,3,1363,0,11,12,1,1,0,1,1,1,Semi-Furnished,0.7,8.7,274.26
Mundhwa,2,903,5,9,9,2,1,1,0,1,1,Unfurnished,1,3,110.74
Warje,3,1425,0,11,14,1,1,0,1,1,1,Fully-Furnished,1.2,11.5,244.38
Pimpri,3,1342,0,9,20,0,0,0,0,1,1,Semi-Furnished,13.1,8.4,89.62
Mundhwa,3,1577,21,7,10,0,0,1,1,0,1,Semi-Furnished,2.8,4.4,141.03
Viman Nagar,3,1460,18,7,20,1,0,1,1,0,1,Fully-Furnished,5.7,3.4,215.47
Hinjewadi,3,1423,18,6,8,0,1,1,0,1,1,Unfurnished,1.5,8.9,122.95
Koregaon Park,3,1775,13,10,16,1,1,1,1,0,1,Semi-Furnished,5.3,3.5,503.89
Wakad,1,607,0,10,11,1,0,0,1,0,1,Semi-Furnished,1,7,95.63
Undri,1,536,19,12,18,0,0,0,0,0,1,Semi-Furnished,6.3,12.8,34.96
Koregaon Park,3,1333,13,4,10,1,0,1,1,1,1,Semi-Furnished,1.1,12.2,316.47
Hadapsar,3,1209,7,13,16,1,1,1,1,0,1,Fully-Furnished,2.2,5.8,161.94
Pisoli,2,1004,16,1,4,1,1,0,1,1,1,Semi-Furnished,10.7,3.7,49.72
Wagholi,2,841,24,2,4,0,0,0,1,0,1,Semi-Furnished,6.9,3.8,38.4
Kalyani Nagar,3,1637,4,15,17,0,1,0,1,1,1,Semi-Furnished,4.3,12,469.95
Warje,2,1029,14,1,3,1,1,1,1,0,1,Semi-Furnished,1.1,10.8,96.81
Kharadi,3,1434,3,1,5,1,1,0,1,1,1,Fully-Furnished,4.2,2.9,246.64
Mundhwa,3,1663,12,13,20,0,0,0,1,1,1,Unfurnished,2.3,3.2,167.52
Hinjewadi,1,730,22,4,4,1,1,1,1,0,1,Fully-Furnished,1.7,2,68.95
Mundhwa,3,1568,0,16,17,1,1,0,1,0,1,Semi-Furnished,0.8,2.4,237.67
Undri,2,941,14,5,5,1,0,0,1,1,1,Fully-Furnished,2.3,7.9,81.37
Kharadi,1,722,20,1,14,0,0,0,1,0,1,Unfurnished,1.8,10.2,60.14
Wakad,2,1061,5,5,8,1,1,0,1,0,1,Semi-Furnished,3.5,1.7,160.77
Pisoli,2,823,1,3,5,1,1,1,1,1,1,Unfurnished,4,1.4,61.59
Undri,1,628,22,6,11,1,1,1,1,0,1,Semi-Furnished,1.3,10.1,42.56
Kondhwa,4,2018,15,7,12,1,0,0,1,0,1,Unfurnished,4.1,4.6,156.65
Pisoli,2,850,23,16,18,1,1,0,1,0,1,Unfurnished,0.6,2.8,36.23
Pashan,2,1077,3,7,9,1,0,0,1,0,1,Unfurnished,6.6,8.3,127.42
Chinchwad,2,1095,2,5,12,1,0,0,1,0,1,Semi-Furnished,1.4,12.9,109.97
Mundhwa,4,1968,5,6,9,1,1,0,1,0,1,Unfurnished,0.9,4,300.09
Hinjewadi,2,1166,17,8,13,1,1,1,1,0,1,Semi-Furnished,2.9,3.4,119.38
Hadapsar,2,920,0,6,9,1,1,0,1,0,1,Unfurnished,4.5,13.5,94.29
Warje,2,1106,5,3,15,1,1,1,1,0,1,Unfurnished,1.5,13.1,116.78
Bavdhan,1,674,7,8,14,1,0,0,0,0,1,Unfurnished,0.6,17.5,70.06
Viman Nagar,3,1213,14,1,19,1,1,0,1,0,1,Fully-Furnished,5.8,2.7,205.42
Chinchwad,3,1473,4,5,6,1,0,1,1,1,1,Semi-Furnished,0.8,2.4,199.02
Koregaon Park,2,997,1,3,5,1,0,0,1,0,1,Semi-Furnished,1.6,5.6,273.29
Chinchwad,2,842,6,4,13,0,0,0,1,0,1,Unfurnished,4.6,1.2,63.84
Pimpri,1,695,19,17,20,0,1,0,1,1,1,Fully-Furnished,7.2,2,47.92
Pisoli,1,590,2,10,12,1,1,0,0,1,1,Unfurnished,5.2,1.2,34.19
Warje,1,607,13,3,15,1,1,1,1,0,1,Unfurnished,0.7,9.9,60.03
Hadapsar,3,1215,22,3,20,2,1,0,0,1,1,Fully-Furnished,0.8,13,107.85
Pashan,1,698,9,16,17,0,0,1,1,1,1,Unfurnished,6.8,5.2,73.82
Hadapsar,3,859,10,16,17,0,1,0,1,0,1,Semi-Furnished,1.6,3.9,99.06
Mundhwa,2,1077,16,4,6,1,1,0,1,1,1,Semi-Furnished,7.2,3.9,111.7
Warje,2,1242,7,9,10,0,1,0,1,1,1,Semi-Furnished,3.2,7.1,158.23
Bavdhan,2,1011,10,8,20,0,1,1,1,1,1,Unfurnished,0.8,3.4,106.46
Mundhwa,2,1326,17,4,6,0,1,0,0,1,1,Semi-Furnished,9.5,5.6,107.52
Warje,2,1007,20,1,4,0,0,0,1,1,1,Semi-Furnished,3.5,1.4,93.1
Pashan,2,889,12,7,17,0,1,0,1,1,1,Fully-Furnished,2.4,1.2,95.33
Bavdhan,3,1314,11,5,5,0,1,0,0,0,1,Unfurnished,11.2,3,137.71
Koregaon Park,3,1119,11,3,6,1,0,1,1,0,1,Unfurnished,3.3,2.6,282.86
Warje,2,1012,6,8,8,0,1,1,1,0,1,Unfurnished,0.5,1,108.79
Hinjewadi,1,569,20,1,3,1,1,0,1,0,1,Semi-Furnished,5.4,5.2,40.57
Pashan,3,1025,22,6,16,1,1,1,1,0,1,Semi-Furnished,8.6,3.5,101
Koregaon Park,2,1032,23,9,10,0,1,0,0,0,1,Semi-Furnished,0.9,3.1,184.4
Kothrud,1,708,15,2,5,1,1,1,1,0,1,Semi-Furnished,2.5,7.1,81.22
Kondhwa,3,1258,2,8,10,1,1,1,1,1,1,Semi-Furnished,2.1,3.6,134.71
Mundhwa,1,627,10,1,20,1,1,0,1,0,1,Fully-Furnished,3.3,2.9,61.31
Chinchwad,2,928,1,12,12,1,0,1,1,1,1,Semi-Furnished,1.4,1.3,111.1
Mundhwa,1,761,15,2,5,1,1,0,0,0,1,Fully-Furnished,0.9,3.4,76.34
Koregaon Park,3,970,19,3,8,1,0,0,1,0,1,Unfurnished,0.9,3.7,192.21
Kondhwa,3,1374,10,2,5,1,1,1,1,0,1,Unfurnished,0.8,3.2,134.79
Pashan,3,1434,5,6,9,0,0,1,0,0,1,Semi-Furnished,3.9,3.2,196.71
Undri,3,1380,24,8,20,1,1,0,0,1,1,Unfurnished,3.5,13.2,92.58
Pashan,2,1143,10,2,19,0,1,0,1,1,1,Semi-Furnished,4.4,1.6,129.01
Pimpri,2,828,8,3,6,1,0,1,1,1,1,Semi-Furnished,0.5,3.7,69.05
Viman Nagar,2,981,21,6,8,1,1,1,0,0,1,Unfurnished,3.1,1.2,111.2
Pashan,2,1024,23,5,12,0,0,0,1,1,1,Fully-Furnished,1.8,7.5,83.57
Mundhwa,2,1145,22,1,6,1,0,1,1,1,1,Fully-Furnished,4,3.8,98.29
Wakad,3,1161,8,8,12,1,0,0,1,1,1,Semi-Furnished,1.6,8.8,186.51
Hadapsar,2,1209,24,3,5,1,0,0,0,1,1,Unfurnished,5.7,10.7,76.47
Pashan,1,587,6,3,15,1,0,0,1,1,1,Unfurnished,1.7,5.4,66.14
Pashan,3,1661,3,1,4,0,1,1,0,0,1,Unfurnished,4.2,6.8,170.42
Kalyani Nagar,3,1182,8,6,7,1,0,0,1,1,1,Semi-Furnished,2.2,1.8,288.51
Warje,3,1338,24,5,5,0,0,1,1,0,1,Semi-Furnished,1,1.1,139.03
Hadapsar,3,1662,12,1,4,1,1,0,1,1,0,Unfurnished,1.7,1.4,174.53
Wagholi,1,432,12,5,9,1,1,1,1,0,1,Semi-Furnished,3.9,5.7,24.08
Viman Nagar,1,477,6,3,3,2,0,0,1,1,1,Fully-Furnished,13.8,4,76.41
Koregaon Park,1,519,1,13,13,1,1,0,1,1,1,Fully-Furnished,2.5,1.1,162.08
Pisoli,1,655,2,2,4,1,0,1,1,0,1,Unfurnished,2,1.2,38.93
Kalyani Nagar,3,1382,25,4,6,1,1,0,1,0,1,Semi-Furnished,1,1.1,242.49
Mundhwa,1,574,25,7,9,1,1,1,1,0,1,Semi-Furnished,1.5,12.5,46.36
Wagholi,1,670,25,1,9,1,0,0,0,0,1,Semi-Furnished,3.3,9.8,23.93
Wagholi,1,589,7,2,4,0,1,1,1,0,1,Unfurnished,2,3.1,37.35
Kharadi,3,1161,22,7,12,1,1,0,0,0,1,Unfurnished,2.9,4.9,120.04
Pashan,2,1096,5,2,4,1,1,0,1,0,1,Semi-Furnished,2.2,2.8,148.5
Viman Nagar,1,521,16,5,6,1,1,0,1,1,1,Semi-Furnished,0.7,3.1,71.87
Pimpri,1,402,3,6,7,1,1,0,0,1,1,Unfurnished,3.1,1.7,33.22
Kothrud,2,1311,13,6,11,1,1,0,0,0,1,Semi-Furnished,2.5,3.6,155.37
Kharadi,3,1620,15,4,19,0,0,0,1,0,1,Semi-Furnished,3.4,2.1,215.08
Hadapsar,1,553,3,4,13,0,1,1,1,0,1,Semi-Furnished,2.4,4.9,54.79
Undri,1,625,13,2,7,2,1,0,0,1,1,Semi-Furnished,2.8,11.2,51.59
Pimpri,1,631,4,1,4,0,0,0,1,1,0,Unfurnished,0.9,8.9,36.99
Kharadi,3,1524,20,4,8,0,1,0,1,1,1,Fully-Furnished,9.1,1.8,166.88
Pimpri,1,638,13,4,10,1,1,1,1,0,1,Semi-Furnished,2.5,11,40.63
Koregaon Park,2,734,1,4,4,1,1,0,1,1,1,Unfurnished,1.5,2.1,247.93
Aundh,1,540,24,3,3,1,1,0,1,1,0,Semi-Furnished,2.6,4.4,80.31
Kharadi,3,1611,18,2,3,1,0,1,0,1,1,Semi-Furnished,12.3,3.6,181.7
Koregaon Park,3,1504,2,15,15,1,1,0,1,1,1,Semi-Furnished,3.1,16.6,453.47
Baner,2,970,10,3,4,1,0,0,1,0,0,Semi-Furnished,6.3,3.9,138.18
Baner,2,1089,24,3,9,2,0,0,1,1,1,Semi-Furnished,3.5,14,90.06
Viman Nagar,3,1396,24,6,10,1,0,1,1,0,1,Unfurnished,4,7.4,167.85
Undri,2,884,3,18,18,1,1,0,1,1,1,Fully-Furnished,1.6,3.2,111.16
Viman Nagar,3,1275,14,1,5,1,0,1,0,0,1,Unfurnished,1.2,16.8,176.77
Hinjewadi,2,1143,6,1,19,0,1,0,0,0,1,Semi-Furnished,1.5,1.1,125.01
Koregaon Park,2,1109,2,1,3,1,1,0,1,1,1,Semi-Furnished,4.5,1.8,310.52
Kondhwa,3,1560,14,10,17,1,1,0,1,0,1,Unfurnished,3.7,8.3,136.57
Chinchwad,3,1470,1,3,7,0,1,1,0,1,1,Unfurnished,0.8,4.3,170.61
Kharadi,3,1367,22,2,7,0,0,0,0,0,1,Unfurnished,2.1,1.3,122.49
Wagholi,3,1242,21,6,13,0,1,1,1,0,1,Unfurnished,5.5,15.8,57.69
Undri,3,1021,14,3,13,0,1,1,1,1,1,Semi-Furnished,0.7,4.5,99.34
